Film Title,Character,Dialogue
Pocahontas,John Smith,All of my life I have searched for land like this one
Pocahontas,Ratcliffe,"Keep on working, lads"
Pocahontas,John Smith,Mine
Pocahontas,Ratcliffe,"Don’t be shirking, lads"
Pocahontas,Englishmen,"Dig, dig, and diggety"
Pocahontas,Ratcliffe,Beautiful gold
Pocahontas,Englishmen,"Dig, dig, for that gold"
Pocahontas,Ratcliffe,"Make the mounds big, boys"
Pocahontas,John Smith,This land we behold
Pocahontas,Ratcliffe,This beauty untold
Pocahontas,John Smith,A man can be bold
Pocahontas,Ratcliffe,It all can be sold
Pocahontas,Englishmen,So go for the gold
Pocahontas,Ratcliffe,Is
Pocahontas,Englishmen,All the riches here
Pocahontas,Ratcliffe,Mine
Pocahontas,Englishmen,From this minute
Pocahontas,Ratcliffe,Mine
Pocahontas,Englishmen,This land and what’s in it is
Pocahontas,All,Mine
Pocahontas,Englishmen,Dig and dig and diggety-dig
Pocahontas,John Smith,"No, wait! Please! Please! Don’t run off. It’s all right, I’m not gonna hurt you. Here, let me help you out of there."
Pocahontas,Pocahontas,Mat-ta-que na-to-rath.
Pocahontas,John Smith,"You don’t understand a word I’m saying, do you? It’s all right."
Pocahontas,Wind Spirit,Ay ay ay na ay ay na
Pocahontas,John Smith,Who are you?
Pocahontas,Pocahontas,Pocahontas.
Pocahontas,John Smith,What? What did you say?
Pocahontas,Pocahontas,My name is Pocahontas.
Pocahontas,John Smith,I’m John Smith.
Pocahontas,Ratcliffe,"That’s it. Keep at it, men. Keep digging. It’s got to be here somewhere."
Pocahontas,Namontack,"There’s thirty more of them, down by the ridge."
Pocahontas,Kocoum,That makes more than a hundred.
Pocahontas,Ratcliffe,Anything yet?
Pocahontas,Thomas,"Nothing but rocks and dirt, sir."
Pocahontas,Lon,"Um, how long are we gonna keep digging like this, sir?"
Pocahontas,Ben,"Aye, we’re slaving away, busting our backs, day and night—"
Pocahontas,Ratcliffe,"For king and country, I know, I know, and I share your fatigue. Wiggins! Wiggins!"
Pocahontas,Wiggins,Coming!
Pocahontas,Ratcliffe,Dispose of this.
Pocahontas,Wiggins,"[To Percy.] Who’s a good doggy? Who’s a good doggy? Fetch, boy!"
Pocahontas,Ratcliffe,"Savages! It’s an ambush, arm yourselves!"
Pocahontas,Wiggins,Run!
Pocahontas,Ratcliffe,"Arm yourselves! Make sure every man has a musket! Shoot! [Thomas trips over a log and his rifle goes off accidentally, firing right between Ratcliffe's legs.] Them, you idiot! Where’s that blasted Smith when I need him?"
Pocahontas,Kocoum,Namontack!
Pocahontas,Kocoum,Back to the village!
Pocahontas,Englishmen,[Cheer.]
Pocahontas,Ben,"Aye, Governor!"
Pocahontas,Ratcliffe,[To Thomas.] And you! Learn to use that thing properly. A man’s not a man unless he knows how to shoot.
Pocahontas,Kekata,[Chanting.]
Pocahontas,Powhatan,"These beasts invade our shores, and now this."
Pocahontas,Kekata,[Chanting.] This wound is strange to me.
Pocahontas,Powhatan,"We will fight this enemy, but we cannot do it alone. Kocoum, send messengers to every village in our nation. We will call on our brothers to help us fight. [Steps outside the tent.] These White Men are dangerous! No one is to go near them."
Pocahontas,John Smith,It’s called a helmet.
Pocahontas,Pocahontas,Helmet.
Pocahontas,John Smith,"So, what river is this?"
Pocahontas,Pocahontas,Quiyoughcohannock.
Pocahontas,John Smith,You have most unusual names here. Chicahominy. Quiyough - Quiyoughcohannock. Pocahontas.
Pocahontas,Pocahontas,"You have the most unusual name, too. John Smith."
Pocahontas,John Smith,[Pulls Meeko out of his bag.] Hey! Is this bottomless pit a friend of yours?
Pocahontas,Pocahontas,Meeko!
Pocahontas,Pocahontas,Nothing’s happening.
Pocahontas,John Smith,"No, no, I need your hand first. It’s how we say hello."
Pocahontas,Pocahontas,This is how we say hello. Wingapo.
Pocahontas,John Smith,Wingapo.
Pocahontas,Pocahontas,And how we say goodbye. Ana.
Pocahontas,John Smith,"I like hello better. [Flit charges at him.] Yeah, I remember you."
Pocahontas,Pocahontas,Flit just doesn’t like strangers.
Pocahontas,John Smith,"But I’m not a stranger anymore. Hmm, stubborn little fellow, isn’t he?"
Pocahontas,Pocahontas,Very stubborn.
Pocahontas,John Smith,Hey!
Pocahontas,Pocahontas,Meeko! Come back here!
Pocahontas,John Smith,"Don’t worry, he can’t hurt it. [Meeko hits it against a rock.] Hey, what are you doing?!"
Pocahontas,Pocahontas,Meeko bring that back!
Pocahontas,John Smith,"No, no, it’s all right. He can keep it. Call it a gift."
Pocahontas,Pocahontas,What was that?
Pocahontas,John Smith,My compass.
Pocahontas,Pocahontas,Compass?
Pocahontas,John Smith,"It tells you how to find your way when you get lost. But it’s all right, I’ll get another one in London."
Pocahontas,Pocahontas,London? Is that your village?
Pocahontas,John Smith,"Yes, it’s a very big village."
Pocahontas,Pocahontas,What’s it like?
Pocahontas,John Smith,"Well, it’s got streets filled with carriages and bridges over the rivers and buildings as tall as trees."
Pocahontas,Pocahontas,I’d like to see those things.
Pocahontas,John Smith,You will.
Pocahontas,Pocahontas,How?
Pocahontas,John Smith,We’re going to build them here. We’ll show your people how to use this land properly. How to make the most of it.
Pocahontas,Pocahontas,Make the most of it?
Pocahontas,John Smith,"Yes, we’ll build roads and decent houses and—"
Pocahontas,Pocahontas,Our houses are fine.
Pocahontas,John Smith,"You think that, only because you don’t know any better. [Pocahontas starts to leave.] Wait a minute, don’t take it that – [Flit attacks him.] Hey, hey, wait! Wait, wait! There’s so much we can teach you. We’ve improved the lives of savages all over the world."
Pocahontas,Pocahontas,Savages?!
Pocahontas,John Smith,"Uh, not that you’re a savage."
Pocahontas,Pocahontas,Just my people.
Pocahontas,John Smith,"No, listen, that’s not what I meant. Let me explain—"
Pocahontas,Pocahontas,Let go!
Pocahontas,John Smith,"No, I’m not letting you leave. Look, don’t do this. ‘Savage’ is just a word. You know. A term for… people who are uncivilized."
Pocahontas,Pocahontas,Like me.
Pocahontas,John Smith,"Well, when I say uncivilized, what I mean is – is…"
Pocahontas,Pocahontas,"What you mean is, not like you."
Pocahontas,John Smith,What is it?
Pocahontas,Pocahontas,The drums. They mean trouble. I shouldn’t be here.
Pocahontas,John Smith,I want to see you again.
Pocahontas,Pocahontas,I can’t.
Pocahontas,John Smith,"Please, don’t leave."
Pocahontas,Pocahontas,I’m sorry. I have to go.
Pocahontas,Ben,All right! This one’s ready to hoist!
Pocahontas,Lon,"Two on each side. Ready now, push! Watch it, it’s slipping!"
Pocahontas,Ben,"Come on, lads, it’s only a little picket fence."
Pocahontas,Lon,"Steady, steady!"
Pocahontas,Ben,There you go!
Pocahontas,Thomas,"That’ll keep everything out, eh, John? Something wrong, John?"
Pocahontas,John Smith,What?
Pocahontas,Thomas,You’ve been awfully quiet the last few days.
Pocahontas,Lon,"Oh, he’s just mad that he missed all the action."
Pocahontas,Thomas,"Ah, don’t worry, John. You’ll get your chance to deal with the Indians."
Pocahontas,Lon,"Yeah, we’ll take care of them like that we did last time, eh mates?"
Pocahontas,Ben,"All right, you howling nutter, get to work!"
Pocahontas,Lon,"Come on, Ben. It’s just a little fun."
Pocahontas,Ben,"Oh sure, we’re having loads of fun. Right, look at us. No gold, no food, while Ratcliffe sits up in his tent all day happy as a clam."
Pocahontas,Ratcliffe,"I’m doomed! I should be wallowing in riches right now and I haven’t seen so much as a speck! It’s got to be here somewhere. Where could it be? I’ve mined the forests and the hills and swamps, and nothing! Why can’t I find it? What am I overlooking?"
Pocahontas,Wiggins,Ah!
Pocahontas,Ratcliffe,[Gasp.]
Pocahontas,Wiggins,I… I… I made it myself.
Pocahontas,Ratcliffe,"Take that silly… Of course, the Indians! Wiggins, why do you think those insolent heathens attacked us?"
Pocahontas,Wiggins,Because we invaded their land and cut down their trees and dug up their earth?
Pocahontas,Ratcliffe,"It’s the gold! They have it and they don’t want us to take it from them. Well, I’ll just have to take it by force then, won’t I?"
Pocahontas,Ratcliffe,You there! Where’s Captain Smith?
Pocahontas,Lon,"Well, he’s… gone!"
Pocahontas,Ben,"Aye, your singing must have scared him off."
