Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,We must sound the drums of war
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Now it’s up to you, men"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"They’re going to kill him at sunrise, Grandmother Willow."
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,You have to stop them.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I can’t.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Child, remember your dream?"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"I was wrong, Grandmother Willow. I followed the wrong path. I feel so lost. [Meeko gives her John’s compass.] The compass? Spinning arrow!"
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,It’s the arrow from your dream!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I was right! It was pointing to him. [Sunlight hits her face.] Sunrise!
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"It’s not too late, child. Let the spirits of the earth guide you! You know your path, child… Now follow it!"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,This will be the day
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,This will be the morning
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I don’t know what I can do
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Eagle help my feet to fly
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Mountain, help my heart be great"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Spirits of the earth and sky
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Please don’t let it be too late
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,How loud are the drums of war
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Is the death of all I love
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"No! If you kill him you’ll have to kill me, too."
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Daughter, stand back!"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"I won’t! I love him, father. Look around you. This is where the path of hatred has brought us. This is the path I choose, father. What will yours be?"
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"My daughter speaks with wisdom beyond her years. We’ve all come here with anger in our hearts, but she comes with courage and understanding. From this day forward, if there is to be more killing, it will not start with me. Release him."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Now’s our chance, fire!"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,What?
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"It’s a trick, don’t you see? Fire! Fine, I’ll settle this myself."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,No! [Jumps in the way.]
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,He stepped right – right into it! It’s his own fault!
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Traitors! Unhand me, I say, how dare you!"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,I’ll see you all hanged for this!
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,(muffled) How dare you! Untie me at once! I’ll have your head for this!
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,And he came so highly recommended.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"No, not yet. She said she’d be here."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Here. It’s from Grandmother Willow’s bark. It’ll help with the pain.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"What pain? I’ve had worse pain than this. Can’t think of any right now, but…"
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"You are always welcome among our people. Thank you, my brother."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,[To Flit.] I thought you didn’t like strangers.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,My mother’s necklace.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"See ya, Percy. [To Pocahontas.] Come with me?"
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,You must choose your own path.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I’m needed here.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Then I’ll stay with you.
